dimensao,metodo,tipo,intervalo,execucao,tempo_segundos,soma
4000,Linhas,Fixo,1,0,0.0119946,16000000
4000,Colunas,Fixo,1,0,0.227475,16000000
4000,Colunas,Fixo,1,1,0.218403,16000000
4000,Linhas,Fixo,1,1,0.0119557,16000000
4000,Linhas,Fixo,1,2,0.0119806,16000000
4000,Colunas,Fixo,1,2,0.219744,16000000
4000,Colunas,Fixo,1,3,0.211855,16000000
4000,Linhas,Fixo,1,3,0.0117397,16000000
4000,Linhas,Fixo,1,4,0.0117144,16000000
4000,Colunas,Fixo,1,4,0.207207,16000000
4000,Linhas,Fixo,100000,0,0.011748,1600000000000
4000,Colunas,Fixo,100000,0,0.214732,1600000000000
4000,Colunas,Fixo,100000,1,0.221996,1600000000000
4000,Linhas,Fixo,100000,1,0.0118247,1600000000000
4000,Linhas,Fixo,100000,2,0.0119557,1600000000000
4000,Colunas,Fixo,100000,2,0.279078,1600000000000
4000,Colunas,Fixo,100000,3,0.223515,1600000000000
4000,Linhas,Fixo,100000,3,0.0119569,1600000000000
4000,Linhas,Fixo,100000,4,0.01184,1600000000000
4000,Colunas,Fixo,100000,4,0.256129,1600000000000
4000,Linhas,Aleatorio,1-100000,0,0.0120508,800046041907
4000,Colunas,Aleatorio,1-100000,0,0.226503,800046041907
4000,Colunas,Aleatorio,1-100000,1,0.20829,800046041907
4000,Linhas,Aleatorio,1-100000,1,0.0098768,800046041907
4000,Linhas,Aleatorio,1-100000,2,0.0097101,800046041907
4000,Colunas,Aleatorio,1-100000,2,0.173975,800046041907
4000,Colunas,Aleatorio,1-100000,3,0.189406,800046041907
4000,Linhas,Aleatorio,1-100000,3,0.017264,800046041907
4000,Linhas,Aleatorio,1-100000,4,0.0151643,800046041907
4000,Colunas,Aleatorio,1-100000,4,0.218583,800046041907
8000,Linhas,Fixo,1,0,0.037184,64000000
8000,Colunas,Fixo,1,0,0.906047,64000000
8000,Colunas,Fixo,1,1,0.908941,64000000
8000,Linhas,Fixo,1,1,0.0376557,64000000
8000,Linhas,Fixo,1,2,0.0372819,64000000
8000,Colunas,Fixo,1,2,0.949228,64000000
8000,Colunas,Fixo,1,3,1.05672,64000000
8000,Linhas,Fixo,1,3,0.0374557,64000000
8000,Linhas,Fixo,1,4,0.0373611,64000000
8000,Colunas,Fixo,1,4,0.984923,64000000
8000,Linhas,Fixo,100000,0,0.0372057,6400000000000
8000,Colunas,Fixo,100000,0,1.04829,6400000000000
8000,Colunas,Fixo,100000,1,0.992129,6400000000000
8000,Linhas,Fixo,100000,1,0.0552028,6400000000000
8000,Linhas,Fixo,100000,2,0.0465449,6400000000000
8000,Colunas,Fixo,100000,2,1.04809,6400000000000
8000,Colunas,Fixo,100000,3,1.09052,6400000000000
8000,Linhas,Fixo,100000,3,0.0533722,6400000000000
8000,Linhas,Fixo,100000,4,0.0469899,6400000000000
8000,Colunas,Fixo,100000,4,0.987678,6400000000000
8000,Linhas,Aleatorio,1-100000,0,0.0511643,3199769050028
8000,Colunas,Aleatorio,1-100000,0,1.135,3199769050028
8000,Colunas,Aleatorio,1-100000,1,0.943505,3199769050028
8000,Linhas,Aleatorio,1-100000,1,0.046724,3199769050028
8000,Linhas,Aleatorio,1-100000,2,0.047455,3199769050028
8000,Colunas,Aleatorio,1-100000,2,1.16974,3199769050028
8000,Colunas,Aleatorio,1-100000,3,0.9421,3199769050028
8000,Linhas,Aleatorio,1-100000,3,0.0371695,3199769050028
8000,Linhas,Aleatorio,1-100000,4,0.0370797,3199769050028
8000,Colunas,Aleatorio,1-100000,4,0.979614,3199769050028
12000,Linhas,Fixo,1,0,0.0852711,144000000
12000,Colunas,Fixo,1,0,2.3564,144000000
12000,Colunas,Fixo,1,1,2.51866,144000000
12000,Linhas,Fixo,1,1,0.105705,144000000
12000,Linhas,Fixo,1,2,0.107608,144000000
12000,Colunas,Fixo,1,2,2.47874,144000000
12000,Colunas,Fixo,1,3,2.75202,144000000
12000,Linhas,Fixo,1,3,0.108688,144000000
12000,Linhas,Fixo,1,4,0.124414,144000000
12000,Colunas,Fixo,1,4,2.44139,144000000
12000,Linhas,Fixo,100000,0,0.089632,14400000000000
12000,Colunas,Fixo,100000,0,2.53837,14400000000000
12000,Colunas,Fixo,100000,1,2.45355,14400000000000
12000,Linhas,Fixo,100000,1,0.11401,14400000000000
12000,Linhas,Fixo,100000,2,0.0999563,14400000000000
12000,Colunas,Fixo,100000,2,2.46278,14400000000000
12000,Colunas,Fixo,100000,3,2.47074,14400000000000
12000,Linhas,Fixo,100000,3,0.120724,14400000000000
12000,Linhas,Fixo,100000,4,0.107236,14400000000000
12000,Colunas,Fixo,100000,4,2.63066,14400000000000
12000,Linhas,Aleatorio,1-100000,0,0.0988619,7200096556438
12000,Colunas,Aleatorio,1-100000,0,2.28783,7200096556438
12000,Colunas,Aleatorio,1-100000,1,2.76287,7200096556438
12000,Linhas,Aleatorio,1-100000,1,0.100437,7200096556438
12000,Linhas,Aleatorio,1-100000,2,0.103694,7200096556438
12000,Colunas,Aleatorio,1-100000,2,2.38524,7200096556438
12000,Colunas,Aleatorio,1-100000,3,2.52533,7200096556438
12000,Linhas,Aleatorio,1-100000,3,0.0873005,7200096556438
12000,Linhas,Aleatorio,1-100000,4,0.0884969,7200096556438
12000,Colunas,Aleatorio,1-100000,4,2.19862,7200096556438
