dimensao,metodo,tipo,intervalo,execucao,tempo_segundos,soma
4000,Linhas,Fixo,1,0,0.008492,16000000
4000,Colunas,Fixo,1,0,0.463508,16000000
4000,Colunas,Fixo,1,1,0.444457,16000000
4000,Linhas,Fixo,1,1,0.019736,16000000
4000,Linhas,Fixo,1,2,0.008883,16000000
4000,Colunas,Fixo,1,2,0.409176,16000000
4000,Colunas,Fixo,1,3,0.378969,16000000
4000,Linhas,Fixo,1,3,0.008622,16000000
4000,Linhas,Fixo,1,4,0.008465,16000000
4000,Colunas,Fixo,1,4,0.458237,16000000
4000,Linhas,Fixo,100000,0,0.014100,1600000000000
4000,Colunas,Fixo,100000,0,0.407911,1600000000000
4000,Colunas,Fixo,100000,1,0.413140,1600000000000
4000,Linhas,Fixo,100000,1,0.007892,1600000000000
4000,Linhas,Fixo,100000,2,0.009059,1600000000000
4000,Colunas,Fixo,100000,2,0.430661,1600000000000
4000,Colunas,Fixo,100000,3,0.526516,1600000000000
4000,Linhas,Fixo,100000,3,0.009405,1600000000000
4000,Linhas,Fixo,100000,4,0.015135,1600000000000
4000,Colunas,Fixo,100000,4,0.465218,1600000000000
4000,Linhas,Aleatorio,1-100000,0,0.013268,799962298813
4000,Colunas,Aleatorio,1-100000,0,0.456199,799962298813
4000,Colunas,Aleatorio,1-100000,1,0.432170,799962298813
4000,Linhas,Aleatorio,1-100000,1,0.015513,799962298813
4000,Linhas,Aleatorio,1-100000,2,0.013714,799962298813
4000,Colunas,Aleatorio,1-100000,2,0.443540,799962298813
4000,Colunas,Aleatorio,1-100000,3,0.418423,799962298813
4000,Linhas,Aleatorio,1-100000,3,0.008997,799962298813
4000,Linhas,Aleatorio,1-100000,4,0.008968,799962298813
4000,Colunas,Aleatorio,1-100000,4,0.356276,799962298813
8000,Linhas,Fixo,1,0,0.037843,64000000
8000,Colunas,Fixo,1,0,2.079033,64000000
8000,Colunas,Fixo,1,1,1.931734,64000000
8000,Linhas,Fixo,1,1,0.036635,64000000
8000,Linhas,Fixo,1,2,0.035178,64000000
8000,Colunas,Fixo,1,2,1.921756,64000000
8000,Colunas,Fixo,1,3,2.159648,64000000
8000,Linhas,Fixo,1,3,0.037822,64000000
8000,Linhas,Fixo,1,4,0.037590,64000000
8000,Colunas,Fixo,1,4,2.085746,64000000
8000,Linhas,Fixo,100000,0,0.032927,6400000000000
8000,Colunas,Fixo,100000,0,2.052406,6400000000000
8000,Colunas,Fixo,100000,1,1.719690,6400000000000
8000,Linhas,Fixo,100000,1,0.033902,6400000000000
8000,Linhas,Fixo,100000,2,0.033663,6400000000000
8000,Colunas,Fixo,100000,2,1.840912,6400000000000
8000,Colunas,Fixo,100000,3,1.919925,6400000000000
8000,Linhas,Fixo,100000,3,0.031020,6400000000000
8000,Linhas,Fixo,100000,4,0.030828,6400000000000
8000,Colunas,Fixo,100000,4,1.784161,6400000000000
8000,Linhas,Aleatorio,1-100000,0,0.037559,3200002499928
8000,Colunas,Aleatorio,1-100000,0,2.264038,3200002499928
8000,Colunas,Aleatorio,1-100000,1,2.174891,3200002499928
8000,Linhas,Aleatorio,1-100000,1,0.032935,3200002499928
8000,Linhas,Aleatorio,1-100000,2,0.033720,3200002499928
8000,Colunas,Aleatorio,1-100000,2,1.765011,3200002499928
8000,Colunas,Aleatorio,1-100000,3,2.033949,3200002499928
8000,Linhas,Aleatorio,1-100000,3,0.033466,3200002499928
8000,Linhas,Aleatorio,1-100000,4,0.035623,3200002499928
8000,Colunas,Aleatorio,1-100000,4,2.064447,3200002499928
12000,Linhas,Fixo,1,0,0.066206,144000000
12000,Colunas,Fixo,1,0,5.064881,144000000
12000,Colunas,Fixo,1,1,4.866334,144000000
12000,Linhas,Fixo,1,1,0.066811,144000000
12000,Linhas,Fixo,1,2,0.066517,144000000
12000,Colunas,Fixo,1,2,4.101805,144000000
12000,Colunas,Fixo,1,3,5.006229,144000000
12000,Linhas,Fixo,1,3,0.086980,144000000
12000,Linhas,Fixo,1,4,0.071794,144000000
12000,Colunas,Fixo,1,4,4.575140,144000000
12000,Linhas,Fixo,100000,0,0.075182,14400000000000
12000,Colunas,Fixo,100000,0,5.709040,14400000000000
12000,Colunas,Fixo,100000,1,5.452117,14400000000000
12000,Linhas,Fixo,100000,1,0.074777,14400000000000
12000,Linhas,Fixo,100000,2,0.075680,14400000000000
12000,Colunas,Fixo,100000,2,5.616889,14400000000000
12000,Colunas,Fixo,100000,3,5.731856,14400000000000
12000,Linhas,Fixo,100000,3,0.084738,14400000000000
12000,Linhas,Fixo,100000,4,0.081474,14400000000000
12000,Colunas,Fixo,100000,4,5.222757,14400000000000
12000,Linhas,Aleatorio,1-100000,0,0.082485,7199035504998
12000,Colunas,Aleatorio,1-100000,0,5.179865,7199035504998
12000,Colunas,Aleatorio,1-100000,1,5.298187,7199035504998
12000,Linhas,Aleatorio,1-100000,1,0.089025,7199035504998
12000,Linhas,Aleatorio,1-100000,2,0.086120,7199035504998
12000,Colunas,Aleatorio,1-100000,2,5.869195,7199035504998
12000,Colunas,Aleatorio,1-100000,3,5.402346,7199035504998
12000,Linhas,Aleatorio,1-100000,3,0.083540,7199035504998
12000,Linhas,Aleatorio,1-100000,4,0.083689,7199035504998
12000,Colunas,Aleatorio,1-100000,4,4.840935,7199035504998
