dimensao,metodo,tipo,intervalo,execucao,tempo_segundos,soma
4000,Linhas,Fixo,1,0,0.0193317,16000000
4000,Colunas,Fixo,1,0,0.464109,16000000
4000,Colunas,Fixo,1,1,0.5219828,16000000
4000,Linhas,Fixo,1,1,0.0168922,16000000
4000,Linhas,Fixo,1,2,0.0169647,16000000
4000,Colunas,Fixo,1,2,0.4626743,16000000
4000,Colunas,Fixo,1,3,0.4884834,16000000
4000,Linhas,Fixo,1,3,0.0192161,16000000
4000,Linhas,Fixo,1,4,0.0189217,16000000
4000,Colunas,Fixo,1,4,0.5533054,16000000
4000,Linhas,Fixo,100000,0,0.027798,1600000000000
4000,Colunas,Fixo,100000,0,0.5119007,1600000000000
4000,Colunas,Fixo,100000,1,0.5074956,1600000000000
4000,Linhas,Fixo,100000,1,0.0287247,1600000000000
4000,Linhas,Fixo,100000,2,0.026435,1600000000000
4000,Colunas,Fixo,100000,2,0.5644946,1600000000000
4000,Colunas,Fixo,100000,3,0.5729331,1600000000000
4000,Linhas,Fixo,100000,3,0.0304941,1600000000000
4000,Linhas,Fixo,100000,4,0.0258685,1600000000000
4000,Colunas,Fixo,100000,4,0.5970181,1600000000000
4000,Linhas,Aleatorio,1-100000,0,0.0320402,799934258062
4000,Colunas,Aleatorio,1-100000,0,0.5373179,799934258062
4000,Colunas,Aleatorio,1-100000,1,0.4767131,799934258062
4000,Linhas,Aleatorio,1-100000,1,0.0256185,799934258062
4000,Linhas,Aleatorio,1-100000,2,0.0259809,799934258062
4000,Colunas,Aleatorio,1-100000,2,0.4853645,799934258062
4000,Colunas,Aleatorio,1-100000,3,0.6069411,799934258062
4000,Linhas,Aleatorio,1-100000,3,0.032002,799934258062
4000,Linhas,Aleatorio,1-100000,4,0.0321528,799934258062
4000,Colunas,Aleatorio,1-100000,4,0.6547466,799934258062
8000,Linhas,Fixo,1,0,0.1192392,64000000
8000,Colunas,Fixo,1,0,2.8692285,64000000
8000,Colunas,Fixo,1,1,2.8119111,64000000
8000,Linhas,Fixo,1,1,0.1372524,64000000
8000,Linhas,Fixo,1,2,0.135193,64000000
8000,Colunas,Fixo,1,2,2.9178052,64000000
8000,Colunas,Fixo,1,3,2.9687018,64000000
8000,Linhas,Fixo,1,3,0.1130682,64000000
8000,Linhas,Fixo,1,4,0.1141563,64000000
8000,Colunas,Fixo,1,4,2.7999271,64000000
8000,Linhas,Fixo,100000,0,0.1570183,6400000000000
8000,Colunas,Fixo,100000,0,3.1968482,6400000000000
8000,Colunas,Fixo,100000,1,3.1736339,6400000000000
8000,Linhas,Fixo,100000,1,0.1225504,6400000000000
8000,Linhas,Fixo,100000,2,0.1376318,6400000000000
8000,Colunas,Fixo,100000,2,2.8621535,6400000000000
8000,Colunas,Fixo,100000,3,3.1714622,6400000000000
8000,Linhas,Fixo,100000,3,0.1276825,6400000000000
8000,Linhas,Fixo,100000,4,0.1169222,6400000000000
8000,Colunas,Fixo,100000,4,2.8569232,6400000000000
8000,Linhas,Aleatorio,1-100000,0,0.101971,3199878531566
8000,Colunas,Aleatorio,1-100000,0,2.6670054,3199878531566
8000,Colunas,Aleatorio,1-100000,1,2.9064584,3199878531566
8000,Linhas,Aleatorio,1-100000,1,0.1026434,3199878531566
8000,Linhas,Aleatorio,1-100000,2,0.1014977,3199878531566
8000,Colunas,Aleatorio,1-100000,2,2.810282,3199878531566
8000,Colunas,Aleatorio,1-100000,3,3.043363,3199878531566
8000,Linhas,Aleatorio,1-100000,3,0.148695,3199878531566
8000,Linhas,Aleatorio,1-100000,4,0.1318459,3199878531566
8000,Colunas,Aleatorio,1-100000,4,2.9532599,3199878531566
12000,Linhas,Fixo,1,0,0.3071653,144000000
12000,Colunas,Fixo,1,0,9.8164294,144000000
12000,Colunas,Fixo,1,1,9.1084435,144000000
12000,Linhas,Fixo,1,1,0.2726065,144000000
12000,Linhas,Fixo,1,2,0.342275,144000000
12000,Colunas,Fixo,1,2,9.6401773,144000000
12000,Colunas,Fixo,1,3,9.6739007,144000000
12000,Linhas,Fixo,1,3,0.3417748,144000000
12000,Linhas,Fixo,1,4,0.3291698,144000000
12000,Colunas,Fixo,1,4,9.2971343,144000000
12000,Linhas,Fixo,100000,0,0.3327179,14400000000000
12000,Colunas,Fixo,100000,0,9.6271195,14400000000000
12000,Colunas,Fixo,100000,1,9.9450306,14400000000000
12000,Linhas,Fixo,100000,1,0.3160995,14400000000000
12000,Linhas,Fixo,100000,2,0.2732885,14400000000000
12000,Colunas,Fixo,100000,2,9.6131558,14400000000000
12000,Colunas,Fixo,100000,3,9.6716982,14400000000000
12000,Linhas,Fixo,100000,3,0.3135922,14400000000000
12000,Linhas,Fixo,100000,4,0.2897237,14400000000000
12000,Colunas,Fixo,100000,4,9.7015514,14400000000000
12000,Linhas,Aleatorio,1-100000,0,0.2362369,7199843258483
12000,Colunas,Aleatorio,1-100000,0,10.3403527,7199843258483
12000,Colunas,Aleatorio,1-100000,1,9.4030892,7199843258483
12000,Linhas,Aleatorio,1-100000,1,0.2588004,7199843258483
12000,Linhas,Aleatorio,1-100000,2,0.2322504,7199843258483
12000,Colunas,Aleatorio,1-100000,2,9.4541107,7199843258483
12000,Colunas,Aleatorio,1-100000,3,9.5930053,7199843258483
12000,Linhas,Aleatorio,1-100000,3,0.2805595,7199843258483
12000,Linhas,Aleatorio,1-100000,4,0.2730503,7199843258483
12000,Colunas,Aleatorio,1-100000,4,9.5797901,7199843258483
