dimensao,metodo,tipo,intervalo,execucao,tempo_segundos,soma
4000,Linhas,Fixo,1,0,2.1262059,16000000
4000,Colunas,Fixo,1,0,2.3015224,16000000
4000,Colunas,Fixo,1,1,2.6394461,16000000
4000,Linhas,Fixo,1,1,2.2647924,16000000
4000,Linhas,Fixo,1,2,2.0996115,16000000
4000,Colunas,Fixo,1,2,2.6141469,16000000
4000,Colunas,Fixo,1,3,2.4793165,16000000
4000,Linhas,Fixo,1,3,2.2161792,16000000
4000,Linhas,Fixo,1,4,1.962381,16000000
4000,Colunas,Fixo,1,4,2.2942883,16000000
4000,Linhas,Fixo,100000,0,2.2304221,1600000000000
4000,Colunas,Fixo,100000,0,2.6441394,1600000000000
4000,Colunas,Fixo,100000,1,2.3509317,1600000000000
4000,Linhas,Fixo,100000,1,2.3966709,1600000000000
4000,Linhas,Fixo,100000,2,2.3243905,1600000000000
4000,Colunas,Fixo,100000,2,2.5060902,1600000000000
4000,Colunas,Fixo,100000,3,2.5040322,1600000000000
4000,Linhas,Fixo,100000,3,2.1600091,1600000000000
4000,Linhas,Fixo,100000,4,2.1238995,1600000000000
4000,Colunas,Fixo,100000,4,2.3789215,1600000000000
4000,Linhas,Aleatorio,1-100000,0,2.279589,799982794376
4000,Colunas,Aleatorio,1-100000,0,3.6275733,799982794376
4000,Colunas,Aleatorio,1-100000,1,3.5249171,799982794376
4000,Linhas,Aleatorio,1-100000,1,2.2131314,799982794376
4000,Linhas,Aleatorio,1-100000,2,2.2602599,799982794376
4000,Colunas,Aleatorio,1-100000,2,3.7433062,799982794376
4000,Colunas,Aleatorio,1-100000,3,3.3043763,799982794376
4000,Linhas,Aleatorio,1-100000,3,2.165949,799982794376
4000,Linhas,Aleatorio,1-100000,4,2.3037074,799982794376
4000,Colunas,Aleatorio,1-100000,4,3.3640464,799982794376
8000,Linhas,Fixo,1,0,8.4848413,64000000
8000,Colunas,Fixo,1,0,10.0364594,64000000
8000,Colunas,Fixo,1,1,10.3532364,64000000
8000,Linhas,Fixo,1,1,8.3873007,64000000
8000,Linhas,Fixo,1,2,8.24894,64000000
8000,Colunas,Fixo,1,2,9.5524464,64000000
8000,Colunas,Fixo,1,3,10.1657799,64000000
8000,Linhas,Fixo,1,3,8.4953614,64000000
8000,Linhas,Fixo,1,4,8.6705412,64000000
8000,Colunas,Fixo,1,4,10.6464675,64000000
8000,Linhas,Fixo,100000,0,7.5203347,6400000000000
8000,Colunas,Fixo,100000,0,9.9761015,6400000000000
8000,Colunas,Fixo,100000,1,9.59356,6400000000000
8000,Linhas,Fixo,100000,1,8.2281359,6400000000000
8000,Linhas,Fixo,100000,2,9.06937,6400000000000
8000,Colunas,Fixo,100000,2,11.8047549,6400000000000
8000,Colunas,Fixo,100000,3,11.8983433,6400000000000
8000,Linhas,Fixo,100000,3,10.4901921,6400000000000
8000,Linhas,Fixo,100000,4,10.8192225,6400000000000
8000,Colunas,Fixo,100000,4,11.815378,6400000000000
8000,Linhas,Aleatorio,1-100000,0,10.2444742,3199666100973
8000,Colunas,Aleatorio,1-100000,0,14.634436,3199666100973
8000,Colunas,Aleatorio,1-100000,1,15.6379364,3199666100973
8000,Linhas,Aleatorio,1-100000,1,10.6205425,3199666100973
8000,Linhas,Aleatorio,1-100000,2,10.5822463,3199666100973
8000,Colunas,Aleatorio,1-100000,2,15.2302684,3199666100973
8000,Colunas,Aleatorio,1-100000,3,15.6679669,3199666100973
8000,Linhas,Aleatorio,1-100000,3,11.2913712,3199666100973
8000,Linhas,Aleatorio,1-100000,4,11.2801745,3199666100973
8000,Colunas,Aleatorio,1-100000,4,15.8548026,3199666100973
12000,Linhas,Fixo,1,0,18.3021821,144000000
12000,Colunas,Fixo,1,0,23.6454374,144000000
12000,Colunas,Fixo,1,1,24.5465354,144000000
12000,Linhas,Fixo,1,1,18.1502021,144000000
12000,Linhas,Fixo,1,2,19.1612195,144000000
12000,Colunas,Fixo,1,2,23.1982901,144000000
12000,Colunas,Fixo,1,3,23.0019088,144000000
12000,Linhas,Fixo,1,3,20.6992704,144000000
12000,Linhas,Fixo,1,4,18.9354511,144000000
12000,Colunas,Fixo,1,4,22.8731738,144000000
12000,Linhas,Fixo,100000,0,20.4809095,14400000000000
12000,Colunas,Fixo,100000,0,24.9110115,14400000000000
12000,Colunas,Fixo,100000,1,21.2081918,14400000000000
12000,Linhas,Fixo,100000,1,21.0871527,14400000000000
12000,Linhas,Fixo,100000,2,21.2329311,14400000000000
12000,Colunas,Fixo,100000,2,21.4160062,14400000000000
12000,Colunas,Fixo,100000,3,21.6764391,14400000000000
12000,Linhas,Fixo,100000,3,21.5796084,14400000000000
12000,Linhas,Fixo,100000,4,20.685468,14400000000000
12000,Colunas,Fixo,100000,4,20.7365498,14400000000000
12000,Linhas,Aleatorio,1-100000,0,22.2611503,7199879287858
12000,Colunas,Aleatorio,1-100000,0,32.3922018,7199879287858
12000,Colunas,Aleatorio,1-100000,1,33.8644885,7199879287858
12000,Linhas,Aleatorio,1-100000,1,22.07964,7199879287858
12000,Linhas,Aleatorio,1-100000,2,21.6583132,7199879287858
12000,Colunas,Aleatorio,1-100000,2,32.3351594,7199879287858
12000,Colunas,Aleatorio,1-100000,3,30.9895459,7199879287858
12000,Linhas,Aleatorio,1-100000,3,21.5367699,7199879287858
12000,Linhas,Aleatorio,1-100000,4,21.3319265,7199879287858
12000,Colunas,Aleatorio,1-100000,4,32.7858294,7199879287858
